Source,Reviewed by,Species,Fish Source,Study Type,Geographic Location,Results
Allen et al. 1986,Previous review,chinook,n/a,review,PNW: Pacific SW,heavy sedimentation decreased egg survival
Anderson 1983,Previous review,brown trout,wild,field,Midwest: SE Minnesota,"scouring of floods, not sedimentation as cause of reproductive failure; streams had abundant groundwater"
Anonymous 1951,Previous review,rainbow,hatchery,field,East coast,flow/oxygen emphasis; both decrease at higher sediment concentrations (12-1240 mg/L); mortality increases @ high sediment; agriculture as cause
Arnsberg et al. 1992,This study,chinook,hatchery,field,"PNW: Clearwater River, WA",intrusion baskets in artificial redds; survival lower in sedimented (w higher % fines<0.85mm) than control buckets; intra-gravel temp and DO favorable throughout incubation; technique biased survival estimates
Bash et al. 2001,This study,salmonids,n/a,review,various,extensive review of effects of sediment on salmonids; includes great tables full of references
Bell 1986,Previous review,chinook,?,review,?,suitable size and proportion of substrates in redds; 1.3-3.8cm(80%); <10.2cm(20%)
Beschta and Jackson 1979,Previous review,salmonids,physical?,field?,?,"fines reduce survival of eggs; low Fronde No. (<0.9) can result in sealing upper 5 cm gravel, high (>0.9)- deposition occurs within upper 5-10cm; Fr = V2/gy (V2=mean velocity; g=gravity; y=depth of flow); mechanisms: (1) fines entomb eggs; (2) fines seal egg pocket"
Bjornn 1968,"This study, Previous review","chinook, steelhead",hatchery,lab,PNW: central ID batholith,"surface fines decrease survival to emergence; survival ~70-77% w no sand, but much reduced w >18% sand; sand >30-40% = nearly no emergence"
Bjornn 1969,This study,chinook,hatchery,lab,PNW: central ID batholith,surface fines decrease survival to emergence; >25% fines (<6.4mm)  = 50% survival; <15% = >75% survival
Burger et al.1982,Previous review,chinook,wild?,field,AK,surface fines decrease survival to emergence; 20-25% fines (<6.4mm)  = 75% survival
Burner 1951,Previous review ,chinook salmonids,?,field,PNW: Columbia River,"suitable proportion of substrates in redds; spawning substrates: fines (mud, silt, sand) are bad; those with <10% are usually successful; 6% fines, 59-86% gravel, 8-35% rubble"
Busch 2000,Previous review,chinook,wild,review,?,text; describes ideal redd size; 1m long; 46 cm deep
Chambers 1956,Previous review,chinook,wild,field,PNW,"suitable size and proportion of substrates in redds; 3-15cm; 62% gravel, 38% cobble"
