"T_val","DD_val","Stage","CM","CM_lower","CM_upper"
12.5,12.5,"C",0.00261547601533807,2.38321369631089e-05,0.250078332231862
14.5,14.5,"C",0.00373178428188725,2.27240533927642e-05,0.459428340292845
16.5,16.5,"C",0.00532326970954788,2.11623994178511e-05,0.739768609225188
18.5,18.5,"C",0.00759088191189949,1.93462229683972e-05,0.950271367402271
20.5,20.5,"C",0.010819187081694,1.74281420168843e-05,0.998874761139661
12.5,25,"C",0.00464767154104173,4.0474051362871e-05,0.415938267796255
14.5,29,"C",0.00651503077490612,3.7580578484131e-05,0.680792905504815
16.5,33,"C",0.00913277669271739,3.41131777673587e-05,0.916516713493609
18.5,37,"C",0.0128004916760867,3.04282331939909e-05,0.995916717326088
20.5,41,"C",0.0179346455781046,2.67735781351863e-05,0.999995741005606
12.5,37.5,"C",0.00622747849143912,5.13374135244771e-05,0.536987324084448
14.5,43.5,"C",0.00859254574014578,4.65238255057399e-05,0.804437611300643
16.5,49.5,"C",0.0118625034514557,4.13011098194804e-05,0.971039951673626
18.5,55.5,"G",0.0461072647350231,0.000724643115850854,0.999251161891186
20.5,61.5,"G",0.142706657489166,0.00225169581736484,0.999999998929539
12.5,50,"C",0.00745609635780342,5.80118194335455e-05,0.631854804849833
14.5,58,"G",0.0118926660659779,0.000139461877277314,0.826484129777975
16.5,66,"G",0.0255891043311425,0.000360344585276784,0.98431525243641
18.5,74,"G",0.100479310364816,0.00180383810494966,0.999969095488571
20.5,82,"G",0.329815663110939,0.00585349044075523,1
12.5,62.5,"G",0.00858890527537692,9.39168666810319e-05,0.644985204294358
14.5,72.5,"G",0.0168967472450391,0.00026991427656009,0.857590456720274
16.5,82.5,"G",0.0473381047959468,0.000826214058899488,0.994742816520563
18.5,92.5,"G",0.186372290800905,0.00344128255561837,0.999999933062013
20.5,102.5,"G",0.571042365512689,0.0115171897423045,1
12.5,75,"G",0.0102143946598927,0.000141710112937399,0.664431061642816
14.5,87,"G",0.0244679434758573,0.000450166796259421,0.89776911740972
16.5,99,"G",0.0814144292123733,0.00149372421493088,0.999278017717835
18.5,111,"G",0.314678814152286,0.00587049659962768,0.999999999999616
20.5,123,"G",0.808899810357044,0.0201822054683756,1
12.5,87.5,"G",0.0125454233313762,0.000204579263174964,0.69282647471653
14.5,101.5,"G",0.0358849336329954,0.000695630547194459,0.941853957848587
16.5,115.5,"G",0.133850271551058,0.00243366896782671,0.999981574834708
18.5,129.5,"O",0.325057633844616,0.00688568565675851,0.999999999999694
20.5,143.5,"O",0.814740321508966,0.0219453991456495,1
12.5,100,"G",0.0158853102490568,0.000286375298424346,0.73303658815837
14.5,116,"G",0.0530137294369821,0.00102546036814277,0.978033343200429
16.5,132,"O",0.139813461232631,0.00294747998557121,0.999983205056389
18.5,148,"O",0.334382450873409,0.0077806122063051,0.999999999999753
20.5,164,"O",0.819858422642713,0.0234748650506998,1
12.5,112.5,"G",0.0206646827260093,0.000391721558003932,0.786804941693944
14.5,130.5,"O",0.0560305082550444,0.00128974343756427,0.978862521481193
16.5,148.5,"O",0.145268120941366,0.00340610272158459,0.999984619197131
18.5,166.5,"O",0.342771108436242,0.00856655311002597,0.999999999999798
20.5,184.5,"O",0.824356394820358,0.0247959603381094,1
12.5,125,"G",0.0274916355224055,0.000526140728341229,0.851835909285718
14.5,145,"O",0.0588276844651876,0.00152879649602977,0.979625996310547
